Country,2004,2006,2008,2010,2012,2014,2016,2018,2020
Belgium,629 430,1 740 316,4 452 593,4 797 443,4 713 913,5 536 496,5 490 423,5 494 381,3 952 151
Bulgaria,47 831,8 430,94 398,143 940,171 682,193 684,461 872,634 326,656 679
Czechia,787 987,650 144,555 769,767 287,959 049,1 016 415,1 032 496,1 200 655,1 382 547
Denmark,0,3 221 341,3 319 510,3 336 298,3 423 602,3 556 470,3 715 843,3 452 677,3 526 799
Germany,11 391 797,17 320 807,23 315 910,28 422 963,33 953 170,38 987 091,43 488 132,46 524 957,45 117 729
Estonia,267 861,256 567,257 234,336 368,348 518,513 932,506 587,397 737,331 830
Ireland,168 553,141 713,103 690,167 689,403 049,721 092,559 136,1 206 622,1 179 815
Greece,45 715,15 727,135 183,126 148,118 046,137 441,219 944,298 902,396 288
Spain,3 173 976,3 612 112,2 551 895,2 523 031,3 269 202,3 535 204,3 829 151,3 564 644,3 449 498
France,15 108 000,10 385 420,12 055 870,12 202 406,11 637 038,13 383 547,16 505 456,17 812 295,22 487 716
Croatia,163 985,1 957,320 915,110 067,39 412,48 843,35 528,73 880,209 885
Italy,2 640 544,2 633 122,2 459 014,2 372 758,2 593 019,2 598 814,5 503 166,8 365 318,8 085 012
Cyprus,17 934,9 903,8 031,7 481,11 167,30 894,74 111,131 818,185 652
Latvia,31 478,11 230,18 264,63 463,152 846,169 799,124 960,172 070,179 458
Lithuania,161 637,169 827,194 077,110 821,105 545,186 127,277 687,292 879,463 629
Luxembourg,53 660,:,38 344,31 630,36 142,210 212,238 787,268 674,300 010
Hungary,285 045,571 549,766 545,859 331,960 408,1 222 780,1 032 554,1 087 730,1 311 975
Malta,0,0,0,0,0,0,0,0,0
Netherlands,519 659,1 505 669,1 668 319,5 517 622,9 022 998,10 258 157,10 567 736,9 938 894,9 423 248
Austria,3 630 429,4 377 951,3 904 365,1 364 197,3 308 205,:,:,:,:
Poland,3 978 965,2 381 797,3 121 752,3 804 481,3 566 578,5 012 702,5 412 060,5 646 257,3 662 342
Portugal,2 614 150,1 692 411,1 545 807,1 339 912,1 196 610,1 280 796,1 170 911,1 146 998,1 188 439
Romania,888 800,1 316 853,1 333 230,1 543 628,1 647 589,2 161 887,2 480 323,2 054 565,1 958 887
Slovenia,391 788,421 086,313 752,282 493,326 157,268 937,231 365,206 733,191 399
Slovakia,526 080,259 735,586 362,255 085,270 205,313 086,557 782,569 321,627 900
Finland,9 323 847,9 088 258,9 630 933,9 847 135,10 317 071,4 485 159,5 688 462,6 251 291,6 230 620
Sweden,9 375 147,10 221 594,8 411 250,6 261 041,6 711 785,7 617 027,9 062 161,8 932 442,8 927 011
Iceland,17 000,:,22 362,17 188,14 244,3 819,4 633,1 286,19 397
Norway,1 169 029,1 896 209,2 090 892,1 280 454,4 270 918,3 244 689,3 748 208,3 632 091,1 532 956
United Kingdom,4 224 160,54 245,170 888,797 765,1 584 682,1 937 878,7 331 069,8 466 696,:
Montenegro,:,:,:,:,3 304,303,1 935,623,1 608
North Macedonia,:,:,100,30,19 322,112,:,1 496,0
Albania,:,:,:,:,:,6 144,:,:,:
Serbia,:,:,:,26 697,49 022,55 633,84 945,100 946,109 774
Kosovo,:,:,:,:,:,:,0,:,0