TIME,2004,2006,2008,2010,2012,2014,2016,2018,2020
Belgium,32 985 766,30 025 212,28 730 624,33 792 919,42 237 159,42 929 920,43 506 358,48 919 987,54 578 904
Bulgaria,195 064 838,158 316 294,161 161 013,159 954 779,158 751 929,175 705 396,116 858 250,118 631 031,110 128 699
Czechia,22 521 031,16 982 501,18 864 101,18 246 507,18 262 628,19 867 699,22 913 480,33 844 884,35 380 809
Denmark,12 892 738,14 967 958,14 635 672,13 647 289,14 165 252,17 597 706,19 062 523,18 301 486,17 349 957
Germany,346 001 167,358 364 726,367 256 297,349 563 855,352 996 320,370 740 801,383 204 029,387 770 912,381 978 065
Estonia,15 410 921,17 657 870,17 388 305,17 953 473,20 609 512,20 734 361,19 872 869,21 773 182,15 307 742
Ireland,18 227 850,22 730 497,16 245 217,9 420 759,8 032 920,9 987 986,11 767 578,12 260 094,14 082 676
Greece,25 499 043,52 205 596,67 523 404,70 389 644,71 333 632,67 051 622,69 958 964,42 651 993,21 648 268
Spain,136 220 011,143 885 581,137 687 475,132 687 982,108 475 037,103 397 339,106 715 249,121 957 549,86 411 180
France,283 391 472,292 502 076,322 641 264,331 053 355,315 146 903,299 663 057,304 814 284,325 288 449,292 534 255
Croatia,4 756 565,2 814 238,3 350 936,2 584 714,2 990 572,3 460 358,3 684 489,3 766 584,4 147 836
Italy,102 352 518,115 960 860,127 894 045,127 156 431,130 460 276,129 673 711,136 041 718,147 413 229,147 037 168
Cyprus,1 182 660,1 248 712,1 842 781,2 371 086,1 854 978,1 711 626,1 953 732,1 823 930,1 321 200
Latvia,988 139,1 151 491,1 386 268,1 005 754,1 573 391,1 940 568,1 836 258,1 712 697,2 136 323
Lithuania,4 579 718,5 205 504,5 626 417,4 545 657,4 286 864,4 540 740,4 840 314,4 622 311,4 337 388
Luxembourg,10 217 449,10 243 110,11 632 148,12 424 150,10 301 845,8 534 002,11 327 677,10 420 312,9 731 917
Hungary,9 826 086,14 978 073,15 955 767,13 423 841,12 963 885,13 681 198,13 960 246,16 927 612,20 626 167
Malta,3 097 939,2 778 385,1 951 039,1 214 149,1 298 971,1 287 613,1 349 095,2 143 021,3 289 762
Netherlands,85 826 150,93 008 395,97 272 468,113 720 073,118 051 339,130 094 410,139 879 536,144 742 308,121 994 530
Austria,51 627 556,47 127 938,48 353 391,29 751 239,46 119 965,53 945 545,60 030 567,63 205 725,66 393 484
Poland,128 581 819,170 285 471,139 523 648,146 580 065,160 696 840,182 435 351,163 002 317,160 334 190,136 651 030
Portugal,23 945 324,24 597 037,13 406 272,9 985 613,9 789 974,10 940 974,9 669 229,10 346 970,10 916 902
Romania,210 514 539,163 066 731,158 506 769,199 134 910,247 552 111,172 452 079,175 698 723,200 027 786,137 909 622
Slovenia,4 990 764,4 237 840,5 242 487,5 638 491,5 068 287,5 444 784,4 810 258,8 313 813,7 144 864
Slovakia,12 104 130,12 729 725,9 242 610,7 692 334,7 051 623,7 091 829,7 923 648,8 508 895,10 369 015
Finland,67 015 648,65 248 632,74 851 325,105 630 419,90 477 546,93 254 044,125 455 649,125 233 522,112 828 334
Sweden,87 181 191,90 563 083,81 352 104,110 475 753,151 224 958,163 286 978,137 021 154,131 575 916,144 471 109
Iceland,488 700,:,728 125,501 776,521 083,815 141,1 067 318,1 293 514,1 060 903
Norway,6 501 333,8 708 776,9 536 530,6 292 239,10 102 881,10 190 153,11 031 502,14 128 951,12 481 210
United Kingdom,217 189 763,241 460 991,265 086 442,200 194 746,192 858 221,205 109 476,211 489 671,214 836 586,:
Montenegro,:,:,:,:,1 002 973,1 037 658,991 610,1 048 957,1 055 441
North Macedonia,:,:,1 502 977,2 106 039,9 023 357,1 499 136,:,1 216 475,1 456 673
Albania,:,:,:,:,:,1 228 883,:,:,:
Serbia,:,:,:,33 145 725,55 022 633,49 444 834,48 515 826,50 993 105,58 111 356
Kosovo,:,:,:,:,:,:,395 251,:,2 592 895